Nama,karbohidrat,protein,kalori,lemak,energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,kategori makanan,label
Creme Brulee,21.91,3.38,336,26.79,1408,15.82,237,0,19.87,32,68,campuran,makanan ringan
Panna Cotta,23.38,1.08,223,12.33,934,7.68,45,0,22.23,38,37,campuran,makanan ringan
Tart,41.55,3.05,278,11.35,1162,2.26,0,1.4,17.47,215,78,campuran,makanan ringan
Kue Keranjang,33.84,2.83,148,0.37,617,0.05,0,1.1,20.64,104,105,campuran,makanan ringan
Donat Isi Custard,30,6.4,361,24.5,1510,5.43,24,0.8,14.55,309,80,campuran,makanan energi
Cendol,23.49,1.87,155,6.37,648,5.43,0,1.2,8.8,5,106,campuran,makanan ringan
Fruit Sando,31.17,4.56,204,6.99,855,3.65,19,1.7,6.24,349,127,campuran,makanan ringan
Putu Mayang,43.66,2.49,209,2.66,873,2.04,0,1.1,14.18,59,88,campuran,makanan ringan
Bolu Karamel,44.8,4.57,454,29.17,1902,10.12,36,0.8,22.9,223,106,campuran,makanan ringan
Biji Salak,24.04,0.86,133,4.13,555,3.65,0,1.3,10.4,34,173,campuran,makanan ringan
Ubi Jalar (Manis),20.12,1.57,86,0.05,360,0.02,0,3,4.18,55,337,nabati,makanan energi
Bolu Tape,49.69,5.01,324,11.43,1356,6.68,77,1.2,18.16,182,120,campuran,makanan ringan
Permen Coklat Susu,59.4,7.65,535,29.66,2238,14.23,23,3.4,51.5,79,372,nabati,makanan ringan
Kue Gandum,68.7,6.2,450,18.1,1883,4.52,0,2.8,24.66,383,142,campuran,makanan low-fat
Pai Ceri,39.8,2,260,11,1088,2.56,0,0.8,14.29,246,81,campuran,makanan ringan
Puding Coklat,23,2.7,139,4,582,0.71,3,1,17.85,129,180,nabati,makanan ringan
Wafer Coklat,72.4,6.6,433,14.2,1812,4.24,2,3.4,29.66,580,210,campuran,makanan ringan
Donat (Tawar),49.7,5,421,22.9,1761,3.62,37,1.5,22.5,546,127,campuran,makanan low-fat
Es Krim Vanila,23.6,3.5,201,11,841,6.79,44,0.7,21.22,80,199,hewani,makanan ringan
Puding Vanila,22,2.3,130,3.6,544,1.51,7,0,20.2,135,113,nabati,makanan ringan
Roti Bagel,50.5,10.02,257,1.62,1075,0.39,0,2.2,5.05,448,75,campuran,makanan energi
Permen Coklat Manis,59.6,3.9,505,34.2,2113,20.08,0,5.5,51.48,16,290,nabati,makanan ringan
Blueberry Muffin,48,5.5,277,6.5,1159,1.4,30,2.6,19.7,447,123,campuran,makanan ringan
Pancake Oat,31.41,5.53,208,6.81,869,1.54,19,1.7,9.04,284,320,campuran,makanan energi
Cookies,60.26,5.71,460,22.03,1923,13.71,57,1.4,19.9,4,64,campuran,makanan ringan
Kue Denmark,44.6,7,403,22.4,1686,5.68,21,1.3,19.78,371,125,campuran,makanan ringan
Puding Roti,23.26,5.27,153,4.74,640,1.65,62,0.9,14.72,236,216,campuran,makanan ringan
Ayam,0,27.07,237,13.49,992,3.76,87,0,0,404,221,hewani,makanan pembentuk otot
Ayam (Kulit tidak Dimakan),0,28.69,188,7.35,787,2.02,88,0,0,408,241,hewani,makanan pembentuk otot
Dada Ayam,0,29.55,195,7.72,816,2.17,83,0,0,393,243,hewani,makanan pembentuk otot
Paha Ayam,0,24.85,245,15.36,1025,4.29,92,0,0,406,220,hewani,makanan pembentuk otot
